iata,name,city,country_code,size_rank
NOS,Nosy Be International Airport,Nosy Be,MG,0
NOU,La Tontouta International Airport,Nouméa (La Tontouta),NC,0
NQN,Presidente Perón International Airport,Neuquén,AR,0
NQZ,Nursultan Nazarbayev International Airport,Astana,KZ,0
NRN,Weeze (Niederrhein) Airport,Weeze,DE,0
NRT,Narita International Airport,Narita,JP,0
NSI,Yaoundé Nsimalen International Airport,Yaoundé,CM,0
NSK,Alykel International Airport,Norilsk,RU,0
NTE,Nantes Atlantique Airport,Nantes,FR,0
NTL,Newcastle Airport,Williamtown,AU,0
NUE,Nuremberg Airport,Nuremberg,DE,0
NUM,Neom Bay Airport,Sharma,SA,0
NVT,Ministro Victor Konder International Airport,Navegantes,BR,0
NYO,Stockholm Skavsta Airport,Nyköping,SE,0
NYT,Nay Pyi Taw International Airport,Naypyitaw,MM,0
OAK,Oakland San Francisco Bay Airport,Oakland,US,0
OAX,Xoxocotlán International Airport,Oaxaca,MX,0
OCS,Corisco International Airport,Corisco Island,GQ,0
ODE,Odense Hans Christian Andersen Airport,Odense,DK,0
OEC,Oecusse Route of the Sandalwood International Airport,Oecussi-Ambeno,TL,0
OGG,Kahului International Airport,Kahului,US,0
OHD,Ohrid St. Paul the Apostle Airport,Ohrid,MK,0
OHS,Suhar International Airport,Suhar,OM,0
OKA,Naha International Airport,Naha,JP,0
OKC,OKC Will Rogers World Airport,Oklahoma City,US,0
OKJ,Okayama Momotaro Airport,Okayama,JP,0
OLB,Olbia Costa Smeralda Airport,Olbia (SS),IT,0
OMA,Eppley Airfield,Omaha,US,0
OMO,Mostar International Airport,Mostar,BA,0
OMR,Oradea International Airport,Oradea,RO,0
OMS,Omsk Central Airport,Omsk,RU,0
ONT,Ontario International Airport,Ontario,US,0
OOL,Gold Coast Airport,Gold Coast,AU,0
OPO,Francisco de Sá Carneiro Airport,Porto,PT,0
ORD,Chicago O'Hare International Airport,Chicago,US,0
ORF,Norfolk International Airport,Norfolk,US,0
ORK,Cork International Airport,Cork,IE,0
ORN,Oran Es-Sénia (Ahmed Ben Bella) International Airport,Es-Sénia,DZ,0
ORU,Juan Mendoza International Airport,Oruro,BO,0
ORY,Paris-Orly Airport,"Paris (Orly, Val-de-Marne)",FR,0
OSL,Oslo-Gardermoen International Airport,Oslo (Gardermoen),NO,0
OSR,Leoš Janáček Airport Ostrava,Mošnov,CZ,0
OSS,Osh International Airport,Osh,KG,0
OST,Ostend-Bruges International Airport,Oostende,BE,0
OTP,Bucharest Henri Coandă International Airport,Otopeni,RO,0
OUA,Ouagadougou Thomas Sankara International Airport,Ouagadougou,BF,0
OUD,Oujda Angads Airport,Ahl Angad,MA,0
OUL,Oulu Airport,Oulu / Oulunsalo,FI,0
OVB,Novosibirsk Tolmachevo Airport,Novosibirsk,RU,0
OVD,Asturias Airport,Ranón,ES,0
OXB,Osvaldo Vieira International Airport,Bissau,GW,0
OZG,Zagora Airport,Zagora,MA,0
OZZ,Ouarzazate International Airport,Ouarzazate,MA,0
PAD,Paderborn Lippstadt Airport,Büren,DE,0
PAP,Toussaint Louverture International Airport,Port-au-Prince,HT,0
PBC,Hermanos Serdán International Airport,Puebla,MX,0
PBH,Paro International Airport,Paro,BT,0
PBM,Johan Adolf Pengel International Airport,Paramaribo,SR,0
PCL,Cap FAP David Abenzur Rengifo International Airport,Pucallpa,PE,0
PDG,Minangkabau International Airport,Padang (Katapiang),ID,0
PDL,João Paulo II Airport,Ponta Delgada,PT,0
PDV,Plovdiv International Airport,Plovdiv,BG,0
PDX,Portland International Airport,Portland,US,0
PED,Pardubice Airport,Pardubice,CZ,0
PEE,Perm International Airport,Perm,RU,0
PEG,Perugia San Francesco d'Assisi – Umbria International Airport,Perugia (PG),IT,0
PEK,Beijing Capital International Airport,Beijing,CN,0
PEN,Penang International Airport,Penang,MY,0
PER,Perth International Airport,Perth,AU,0
PEV,Pécs-Pogány International Airport,Pécs,HU,0
PEW,Bacha Khan International Airport,Peshawar,PK,0
PFO,Paphos International Airport,Paphos,CY,0
PHC,Port Harcourt International Airport,Port Harcourt,NG,0
PHE,Port Hedland International Airport,Port Hedland,AU,0
PHH,Pokhara International Airport,Pokhara,NP,0
PHL,Philadelphia International Airport,Philadelphia,US,0
PHX,Phoenix Sky Harbor International Airport,Phoenix,US,0
PIE,St. Petersburg Clearwater International Airport,Pinellas Park,US,0
PIK,Glasgow Prestwick Airport,"Prestwick, South Ayrshire",GB,0
PIT,Pittsburgh International Airport,Pittsburgh,US,0
PKC,Yelizovo Airport,Petropavlovsk-Kamchatsky,RU,0
PKX,Beijing Daxing International Airport,Beijing,CN,0
PKZ,Pakse International Airport,Pakse,LA,0
PLQ,Palanga International Airport,Palanga,LT,0
PLS,Providenciales International Airport,Providenciales,TC,0
PLX,Semei International Airport,Semey,KZ,0
PLZ,Chief Dawid Stuurman International Airport,Gqeberha (Port Elizabeth),ZA,0
PMC,El Tepual International Airport,Puerto Montt,CL,0
PMI,Palma de Mallorca Airport,Palma de Mallorca,ES,0
PMO,Falcone–Borsellino Airport,Palermo,IT,0
PMV,Del Caribe Santiago Mariño International Airport,Isla Margarita,VE,0
PNK,Supadio International Airport,Pontianak,ID,0
PNQ,Pune International Airport,Pune,IN,0
PNR,Antonio Agostinho-Neto International Airport,Pointe Noire,CG,0
PNS,Pensacola International Airport,Pensacola,US,0
POA,Porto Alegre-Salgado Filho International Airport,Porto Alegre,BR,0
POG,Port Gentil International Airport,Port Gentil,GA,0
POM,Port Moresby Jacksons International Airport,Port Moresby,PG,0
POS,Piarco International Airport,Port of Spain,TT,0
POZ,Poznań-Ławica Airport,Poznań,PL,0
PPG,Pago Pago International Airport,Pago Pago,AS,0
PPK,Petropavl International Airport,Petropavl,KZ,0
PPS,Puerto Princesa International Airport / PAF Antonio Bautista Air Base,Puerto Princesa,PH,0
PPT,Fa'a'ā International Airport,Papeete,PF,0
PQC,Phú Quốc International Airport,Phu Quoc Island,VN,0
PRG,Václav Havel Airport Prague,Prague,CZ,0
PRN,Priština Adem Jashari International Airport,Prishtina,XK,0
PSA,Pisa International Airport,Pisa (PI),IT,0
PSD,Port Said International Airport,Port Said,EG,0
PSP,Palm Springs International Airport,Palm Springs,US,0
PSR,Abruzzo Airport,Pescara,IT,0
PTG,Polokwane International Airport,Polokwane,ZA,0
PTP,Maryse Condé International Airport,Pointe-à-Pitre,GP,0
PTY,Tocumen International Airport,Tocumen,PA,0
PUJ,Punta Cana International Airport,Punta Cana,DO,0
PUQ,President Carlos Ibáñez International Airport,Punta Arenas,CL,0
PUS,Gimhae International Airport,Busan,KR,0
